0, 21.0
1, 12.0
2,  2.0
3,  0.0
4,  0.0
5,  9.0
6, 21.0
7, 29.0
8, 20.0
9, 37.0
10, 49.0
11, 42.0
12, 19.0
13, 10.0
14, 23.0
15, 29.0
16, 32.0
17, 22.0
18, 34.0
19, 39.0
20, 41.0
21, 33.0
22, 33.0
23, 38.0
24, 53.0
25, 60.0
26, 40.0
27, 29.0
28, 31.0
29, 29.0
30, 29.0
31, 33.0
32, 45.0
33, 48.0
34, 46.0
35, 31.0
36, 35.0
37, 46.0
38, 35.0
39, 15.0
40,  7.0
41, 19.0
42, 26.0
43, 26.0
44, 32.0
45, 34.0
46, 33.0
47, 20.0
48,  7.0
49,  3.0
50,  1.0
51,  7.0
52, 10.0
53,  5.0
54,  0.0
55,  1.0
56, 14.0
57,  9.0
58, 23.0
59, 42.0
60, 42.0
61, 20.0
62,  6.0
63, 12.0
64, 32.0
65, 36.0
66, 34.0
67, 25.0
68, 18.0
69, 16.0
70, 28.0
71, 45.0
72, 49.0
73, 47.0
74, 45.0
75, 37.0
76, 14.0
77, 11.0
78, 22.0
79, 31.0
80, 25.0
81, 28.0
82, 23.0
83, 16.0
84,  6.0
85, 14.0
86, 24.0
87, 32.0
88, 23.0
89,  2.0
90,  0.0
91,  0.0
92,  2.0
93, 10.0
94, 13.0
95,  9.0
96, 10.0
97, 16.0
98, 33.0
99, 36.0
100, 32.0
101, 29.0
102, 31.0
103, 20.0
104,  6.0
105,  8.0
106, 42.0
107, 51.0
108, 43.0
109, 39.0
110, 51.0
111, 33.0
112, 16.0
113, 18.0
114, 30.0
115, 28.0
116, 29.0
117, 33.0
118, 37.0
119, 29.0
120, 15.0
121, 11.0
122, 25.0
123, 30.0
124, 21.0
125, 22.0
126, 32.0
127, 34.0
128, 21.0
129, 25.0
130, 21.0
131, 21.0
132, 16.0
133, 26.0
134, 24.0
135,  4.0
136,  0.0
137,  0.0
138,  9.0
139, 25.0
140, 22.0
141, 10.0
142, 15.0
143, 30.0
144, 21.0
145, 11.0
146, 23.0
147, 30.0
148, 22.0
149, 16.0
150, 20.0
151, 29.0
152, 39.0
153, 32.0
154, 21.0
155, 15.0
156, 39.0
157, 42.0
158, 32.0
159,  8.0
160, 21.0
161, 33.0
162, 41.0
163, 35.0
164, 37.0
165, 35.0
166, 27.0
167, 13.0
168, 17.0
169, 16.0
170, 20.0
171, 32.0
172, 49.0
173, 44.0
174, 27.0
175, 37.0
176, 43.0
177, 41.0
178, 15.0
179,  9.0
180, 11.0
181, 28.0
182, 30.0
183, 31.0
184, 43.0
185, 55.0
186, 55.0
187, 45.0
188, 30.0
189,  4.0
190,  0.0
191, 15.0
192, 32.0
193, 27.0
194, 27.0
195, 32.0
196, 34.0
197, 46.0
198, 54.0
199, 53.0
200, 34.0
201, 27.0
202, 22.0
203, 21.0
204, 27.0
205, 27.0
206, 16.0
207,  9.0
208, 18.0
209, 28.0
210, 28.0
211, 18.0
212,  8.0
213,  0.0
214,  0.0
215, 18.0
216, 35.0
217, 25.0
218, 22.0
219, 34.0
220, 42.0
221, 41.0
222, 44.0
223, 49.0
224, 40.0
225, 31.0
226, 22.0
227, 34.0
228, 46.0
229, 37.0
230, 20.0
231, 24.0
232, 37.0
233, 34.0
234, 20.0
235, 10.0
236, 10.0
237, 14.0
238, 19.0
239, 19.0
240, 21.0
241, 19.0
242, 23.0
243, 40.0
244, 49.0
245, 37.0
246, 18.0
247, 22.0
248, 36.0
249, 43.0
250, 32.0
251, 18.0
252,  0.0
253,  3.0
254, 27.0
255, 45.0
256, 28.0
257, 15.0
258, 20.0
259, 23.0
260, 34.0
261, 56.0
262, 52.0
263, 30.0
264, 24.0
265, 20.0
266, 16.0
267, 19.0
268, 26.0
269, 27.0
270, 24.0
271, 32.0
272, 41.0
273, 44.0
274, 30.0
275, 22.0
276,  5.0
277,  2.0
278, 14.0
279, 14.0
280,  0.0
281,  5.0
282, 38.0
283, 56.0
284, 38.0
285, 23.0
286, 16.0
287, 18.0
288, 17.0
289, 15.0
290,  4.0
291,  0.0
292,  0.0
293,  5.0
294,  7.0
295, 12.0
296, 13.0
297,  5.0
298,  0.0
299, 13.0
300, 26.0
301, 27.0
302, 30.0
303, 30.0
304, 15.0
305, 16.0
306, 32.0
307, 29.0
308,  9.0
309, 22.0
310, 49.0
311, 56.0
312, 42.0
313, 29.0
314, 17.0
315, 18.0
316, 28.0
317, 34.0
318, 36.0
319, 41.0
320, 56.0
321, 46.0
322, 28.0
323, 27.0
324, 49.0
325, 60.0
326, 55.0
327, 52.0
328, 47.0
329, 50.0
330, 44.0
331, 37.0
332, 16.0
333,  0.0
334,  0.0
335,  0.0
336,  0.0
337,  5.0
338, 21.0
339, 43.0
340, 43.0
341, 30.0
342, 11.0
343,  6.0
344,  9.0
345, 17.0
346, 16.0
347, 25.0
348, 22.0
349, 15.0
350, 11.0
351, 15.0
352, 13.0
353,  8.0
354, 18.0
355, 23.0
356, 12.0
357,  0.0
358,  0.0
359,  4.0
360,  8.0
361,  8.0
362, 20.0
363, 29.0
364, 26.0
365, 31.0
366, 27.0
367, 28.0
368, 35.0
369, 48.0
370, 51.0
371, 45.0
372, 32.0
373, 19.0
374,  3.0
375,  0.0
376,  0.0
377, 13.0
378, 36.0
379, 33.0
380, 28.0
381, 22.0
382, 27.0
383, 21.0
